1,평택  
1,구로  
1,남영  
1,안양  
1,동묘앞  
1,진위  
1,부천  
1,명학  
1,회기  
1,오산  
1,탕정  
1,가능  
1,도봉  
1,청량리  
1,제기동  
1,신설동  
1,동대문  
1,종로5가  
1,개봉  
1,방학  
1,주안  
1,전곡  
1,소요산  
1,동두천중앙  
1,간석  
1,소사  
1,종로3가  
1,종각  
1,시청  
1,독산  
1,서울역  
1,인천  
1,송내  
1,화서  
1,군포  
1,덕정  
1,보산  
1,덕계  
1,온수  
1,연천  
1,동암  
1,부개  
1,오류동  
1,직산  
1,관악  
1,신이문  
1,천안  
1,세마  
1,도봉산  
1,구일  
1,서정리  
1,의왕  
1,회룡  
1,의정부  
1,녹양  
1,녹천  
1,양주  
1,서동탄  
1,금정  
1,지행  
1,망월사  
1,석계  
1,당정  
1,온양온천  
1,영등포  
1,배방  
1,쌍용  
1,송탄  
1,두정  
1,신길  
1,월계  
1,광운대  
1,외대앞  
1,노량진  
1,용산  
1,동두천  
1,아산  
1,대방  
1,봉명  
1,평택지제  
1,수원  
1,성균관대  
1,석수  
1,금천구청  
1,가산디지털단지  
1,세류  
1,병점  
1,오산대  
1,광명  
1,신창  
1,창동  
1,역곡  
1,도화  
1,청산  
1,중동  
1,도원  
1,동인천  
1,신도림  
1,제물포  
1,백운  
1,부평  
1,성환  
2,봉천  
2,대림  
2,한양대  
2,서울대입구  
2,신도림  
2,아현  
2,충정로  
2,용답  
2,문래  
2,잠실새내  
2,신림  
2,종합운동장  
2,삼성  
2,신대방  
2,영등포구청  
2,양천구청  
2,을지로4가  
2,뚝섬  
2,신답  
2,을지로입구  
2,사당  
2,을지로3가  
2,성수  
2,건대입구  
2,당산  
2,신정네거리  
2,구의  
2,합정  
2,용두  
2,구로디지털단지  
2,홍대입구  
2,신촌  
2,이대  
2,신설동  
2,도림천  
2,까치산  
2,시청  
2,동대문역사문화공원  
2,신당  
2,상왕십리  
2,강변  
2,잠실나루  
2,잠실  
2,선릉  
2,역삼  
2,강남  
2,교대  
2,서초  
2,방배  
2,낙성대  
3,약수  
3,무악재  
3,금호  
3,대곡  
3,학여울  
3,안국  
3,삼송  
3,홍제  
3,원흥  
3,녹번  
3,불광  
3,충무로  
3,백석  
3,대치  
3,오금  
3,옥수  
3,동대입구  
3,화정  
3,가락시장  
3,수서  
3,정발산  
3,일원  
3,남부터미널  
3,교대  
3,고속터미널  
3,양재  
3,연신내  
3,매봉  
3,구파발  
3,지축  
3,원당  
3,주엽  
3,종로3가  
3,경찰병원  
3,마두  
3,잠원  
3,대청  
3,경복궁  
3,압구정  
3,신사  
3,대화  
3,도곡  
3,을지로3가  
3,독립문  
4,상록수  
4,한대앞  
4,금정  
4,동작  
4,노원  
4,산본  
4,수유  
4,중앙  
4,안산  
4,평촌  
4,고잔  
4,경마공원  
4,대공원  
4,인덕원  
4,정부과천청사  
4,수리산  
4,숙대입구  
4,미아사거리  
4,미아  
4,명동  
4,대야미  
4,이촌  
4,회현  
4,신길온천  
4,신용산  
4,충무로  
4,삼각지  
4,동대문  
4,서울역  
4,사당  
4,남태령  
4,성신여대입구  
4,길음  
4,정왕  
4,쌍문  
4,상계  
4,불암산  
4,별내별가람  
4,총신대입구  
4,오남  
4,진접  
4,한성대입구  
4,창동  
4,동대문역사문화공원  
4,범계  
4,초지  
4,과천  
4,오이도  
4,선바위  
4,혜화  
4,반월
